Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
401.15	5.4000	1793.6	0.00055753	22.093	25.104	96.817	34.850	48.901	294.35	5.0182	20.752	0.027796	vapor
401.16	5.4000	1793.6	0.00055755	22.093	25.104	96.818	34.850	48.900	294.36	5.0178	20.752	0.027796	vapor
401.17	5.4000	1793.5	0.00055757	22.094	25.105	96.819	34.851	48.900	294.37	5.0175	20.753	0.027797	vapor
401.18	5.4000	1793.4	0.00055759	22.094	25.105	96.820	34.851	48.899	294.37	5.0172	20.753	0.027798	vapor
401.19	5.4000	1793.4	0.00055761	22.095	25.106	96.821	34.851	48.899	294.38	5.0169	20.754	0.027798	vapor
401.20	5.4000	1793.3	0.00055763	22.095	25.106	96.823	34.851	48.898	294.38	5.0166	20.754	0.027799	vapor
401.21	5.4000	1793.3	0.00055765	22.095	25.107	96.824	34.851	48.898	294.39	5.0163	20.754	0.027800	vapor
401.22	5.4000	1793.2	0.00055767	22.096	25.107	96.825	34.851	48.898	294.39	5.0160	20.755	0.027800	vapor
401.23	5.4000	1793.1	0.00055769	22.096	25.108	96.826	34.852	48.897	294.40	5.0157	20.755	0.027801	vapor
401.24	5.4000	1793.1	0.00055771	22.097	25.108	96.828	34.852	48.897	294.40	5.0154	20.756	0.027802	vapor
401.25	5.4000	1793.0	0.00055773	22.097	25.109	96.829	34.852	48.896	294.41	5.0150	20.756	0.027802	vapor
401.26	5.4000	1792.9	0.00055775	22.097	25.109	96.830	34.852	48.896	294.41	5.0147	20.756	0.027803	vapor
401.27	5.4000	1792.9	0.00055777	22.098	25.110	96.831	34.852	48.895	294.42	5.0144	20.757	0.027804	vapor
401.28	5.4000	1792.8	0.00055779	22.098	25.110	96.832	34.852	48.895	294.42	5.0141	20.757	0.027804	vapor
401.29	5.4000	1792.7	0.00055781	22.098	25.111	96.834	34.853	48.895	294.43	5.0138	20.758	0.027805	vapor
401.30	5.4000	1792.7	0.00055783	22.099	25.111	96.835	34.853	48.894	294.43	5.0135	20.758	0.027806	vapor
401.31	5.4000	1792.6	0.00055785	22.099	25.112	96.836	34.853	48.894	294.44	5.0132	20.759	0.027806	vapor
401.32	5.4000	1792.5	0.00055787	22.100	25.112	96.837	34.853	48.893	294.44	5.0129	20.759	0.027807	vapor
401.33	5.4000	1792.5	0.00055789	22.100	25.113	96.838	34.853	48.893	294.45	5.0126	20.759	0.027808	vapor
401.34	5.4000	1792.4	0.00055791	22.100	25.113	96.840	34.853	48.893	294.45	5.0123	20.760	0.027808	vapor
401.35	5.4000	1792.4	0.00055793	22.101	25.114	96.841	34.854	48.892	294.46	5.0119	20.760	0.027809	vapor
401.36	5.4000	1792.3	0.00055795	22.101	25.114	96.842	34.854	48.892	294.46	5.0116	20.761	0.027810	vapor
401.37	5.4000	1792.2	0.00055797	22.101	25.115	96.843	34.854	48.891	294.47	5.0113	20.761	0.027810	vapor
401.38	5.4000	1792.2	0.00055799	22.102	25.115	96.845	34.854	48.891	294.47	5.0110	20.761	0.027811	vapor
401.39	5.4000	1792.1	0.00055801	22.102	25.115	96.846	34.854	48.890	294.48	5.0107	20.762	0.027812	vapor
401.40	5.4000	1792.0	0.00055803	22.103	25.116	96.847	34.854	48.890	294.48	5.0104	20.762	0.027812	vapor
401.41	5.4000	1792.0	0.00055805	22.103	25.116	96.848	34.855	48.890	294.49	5.0101	20.763	0.027813	vapor
401.42	5.4000	1791.9	0.00055807	22.103	25.117	96.849	34.855	48.889	294.49	5.0098	20.763	0.027814	vapor
401.43	5.4000	1791.8	0.00055809	22.104	25.117	96.851	34.855	48.889	294.50	5.0095	20.764	0.027814	vapor
401.44	5.4000	1791.8	0.00055811	22.104	25.118	96.852	34.855	48.888	294.50	5.0092	20.764	0.027815	vapor
401.45	5.4000	1791.7	0.00055813	22.105	25.118	96.853	34.855	48.888	294.51	5.0088	20.764	0.027816	vapor
401.46	5.4000	1791.6	0.00055815	22.105	25.119	96.854	34.855	48.887	294.51	5.0085	20.765	0.027816	vapor
401.47	5.4000	1791.6	0.00055817	22.105	25.119	96.856	34.856	48.887	294.52	5.0082	20.765	0.027817	vapor
401.48	5.4000	1791.5	0.00055819	22.106	25.120	96.857	34.856	48.887	294.52	5.0079	20.766	0.027818	vapor
401.49	5.4000	1791.5	0.00055821	22.106	25.120	96.858	34.856	48.886	294.53	5.0076	20.766	0.027819	vapor
401.50	5.4000	1791.4	0.00055823	22.106	25.121	96.859	34.856	48.886	294.53	5.0073	20.766	0.027819	vapor
401.51	5.4000	1791.3	0.00055825	22.107	25.121	96.860	34.856	48.885	294.54	5.0070	20.767	0.027820	vapor
401.52	5.4000	1791.3	0.00055827	22.107	25.122	96.862	34.856	48.885	294.54	5.0067	20.767	0.027821	vapor
401.53	5.4000	1791.2	0.00055829	22.108	25.122	96.863	34.857	48.885	294.55	5.0064	20.768	0.027821	vapor
401.54	5.4000	1791.1	0.00055831	22.108	25.123	96.864	34.857	48.884	294.55	5.0061	20.768	0.027822	vapor
401.55	5.4000	1791.1	0.00055833	22.108	25.123	96.865	34.857	48.884	294.56	5.0058	20.769	0.027823	vapor
401.56	5.4000	1791.0	0.00055835	22.109	25.124	96.867	34.857	48.883	294.56	5.0054	20.769	0.027823	vapor
401.57	5.4000	1790.9	0.00055837	22.109	25.124	96.868	34.857	48.883	294.57	5.0051	20.769	0.027824	vapor
401.58	5.4000	1790.9	0.00055839	22.109	25.125	96.869	34.857	48.882	294.57	5.0048	20.770	0.027825	vapor
401.59	5.4000	1790.8	0.00055841	22.110	25.125	96.870	34.858	48.882	294.58	5.0045	20.770	0.027825	vapor
401.60	5.4000	1790.7	0.00055843	22.110	25.126	96.871	34.858	48.882	294.58	5.0042	20.771	0.027826	vapor
401.61	5.4000	1790.7	0.00055845	22.111	25.126	96.873	34.858	48.881	294.59	5.0039	20.771	0.027827	vapor
401.62	5.4000	1790.6	0.00055847	22.111	25.127	96.874	34.858	48.881	294.59	5.0036	20.771	0.027827	vapor
401.63	5.4000	1790.6	0.00055849	22.111	25.127	96.875	34.858	48.880	294.60	5.0033	20.772	0.027828	vapor
401.64	5.4000	1790.5	0.00055851	22.112	25.128	96.876	34.858	48.880	294.60	5.0030	20.772	0.027829	vapor
401.65	5.4000	1790.4	0.00055853	22.112	25.128	96.877	34.859	48.880	294.61	5.0027	20.773	0.027829	vapor
401.66	5.4000	1790.4	0.00055855	22.113	25.129	96.879	34.859	48.879	294.61	5.0024	20.773	0.027830	vapor
401.67	5.4000	1790.3	0.00055857	22.113	25.129	96.880	34.859	48.879	294.62	5.0020	20.774	0.027831	vapor
401.68	5.4000	1790.2	0.00055859	22.113	25.130	96.881	34.859	48.878	294.62	5.0017	20.774	0.027831	vapor
401.69	5.4000	1790.2	0.00055861	22.114	25.130	96.882	34.859	48.878	294.63	5.0014	20.774	0.027832	vapor
401.70	5.4000	1790.1	0.00055863	22.114	25.131	96.884	34.859	48.877	294.63	5.0011	20.775	0.027833	vapor
401.71	5.4000	1790.0	0.00055865	22.114	25.131	96.885	34.860	48.877	294.64	5.0008	20.775	0.027833	vapor
401.72	5.4000	1790.0	0.00055867	22.115	25.132	96.886	34.860	48.877	294.64	5.0005	20.776	0.027834	vapor
401.73	5.4000	1789.9	0.00055869	22.115	25.132	96.887	34.860	48.876	294.65	5.0002	20.776	0.027835	vapor
401.74	5.4000	1789.9	0.00055871	22.116	25.133	96.888	34.860	48.876	294.65	4.9999	20.776	0.027835	vapor
401.75	5.4000	1789.8	0.00055873	22.116	25.133	96.890	34.860	48.875	294.66	4.9996	20.777	0.027836	vapor
401.76	5.4000	1789.7	0.00055875	22.116	25.134	96.891	34.860	48.875	294.66	4.9993	20.777	0.027837	vapor
401.77	5.4000	1789.7	0.00055877	22.117	25.134	96.892	34.861	48.875	294.67	4.9990	20.778	0.027837	vapor
401.78	5.4000	1789.6	0.00055879	22.117	25.135	96.893	34.861	48.874	294.67	4.9986	20.778	0.027838	vapor
401.79	5.4000	1789.5	0.00055881	22.117	25.135	96.894	34.861	48.874	294.68	4.9983	20.778	0.027839	vapor
401.80	5.4000	1789.5	0.00055883	22.118	25.136	96.896	34.861	48.873	294.68	4.9980	20.779	0.027839	vapor
401.81	5.4000	1789.4	0.00055885	22.118	25.136	96.897	34.861	48.873	294.69	4.9977	20.779	0.027840	vapor
401.82	5.4000	1789.3	0.00055887	22.119	25.136	96.898	34.861	48.872	294.69	4.9974	20.780	0.027841	vapor
401.83	5.4000	1789.3	0.00055889	22.119	25.137	96.899	34.862	48.872	294.70	4.9971	20.780	0.027841	vapor
401.84	5.4000	1789.2	0.00055891	22.119	25.137	96.901	34.862	48.872	294.70	4.9968	20.781	0.027842	vapor
401.85	5.4000	1789.1	0.00055893	22.120	25.138	96.902	34.862	48.871	294.71	4.9965	20.781	0.027843	vapor
401.86	5.4000	1789.1	0.00055895	22.120	25.138	96.903	34.862	48.871	294.72	4.9962	20.781	0.027843	vapor
401.87	5.4000	1789.0	0.00055897	22.121	25.139	96.904	34.862	48.870	294.72	4.9959	20.782	0.027844	vapor
401.88	5.4000	1789.0	0.00055899	22.121	25.139	96.905	34.862	48.870	294.73	4.9956	20.782	0.027845	vapor
401.89	5.4000	1788.9	0.00055901	22.121	25.140	96.907	34.863	48.870	294.73	4.9952	20.783	0.027845	vapor
401.90	5.4000	1788.8	0.00055903	22.122	25.140	96.908	34.863	48.869	294.74	4.9949	20.783	0.027846	vapor
401.91	5.4000	1788.8	0.00055905	22.122	25.141	96.909	34.863	48.869	294.74	4.9946	20.783	0.027847	vapor
401.92	5.4000	1788.7	0.00055907	22.122	25.141	96.910	34.863	48.868	294.75	4.9943	20.784	0.027847	vapor
401.93	5.4000	1788.6	0.00055909	22.123	25.142	96.912	34.863	48.868	294.75	4.9940	20.784	0.027848	vapor
