Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
313.15	0.18000	69.664	0.014355	20.216	22.799	117.46	29.662	38.277	274.19	9.6557	15.639	0.017832	vapor
313.15	0.20400	79.034	0.012653	20.209	22.791	116.40	29.683	38.339	274.03	9.6564	15.641	0.017845	vapor
313.15	0.22800	88.424	0.011309	20.203	22.782	115.45	29.704	38.402	273.87	9.6571	15.644	0.017859	vapor
313.15	0.25200	97.833	0.010222	20.197	22.773	114.60	29.726	38.465	273.71	9.6578	15.647	0.017872	vapor
313.15	0.27600	107.26	0.0093230	20.191	22.764	113.82	29.747	38.528	273.55	9.6584	15.649	0.017885	vapor
313.15	0.30000	116.71	0.0085682	20.184	22.755	113.11	29.768	38.592	273.39	9.6591	15.652	0.017898	vapor
313.15	0.32400	126.18	0.0079253	20.178	22.746	112.45	29.790	38.656	273.24	9.6598	15.655	0.017912	vapor
313.15	0.34800	135.67	0.0073710	20.172	22.737	111.84	29.811	38.720	273.08	9.6604	15.658	0.017925	vapor
313.15	0.37200	145.18	0.0068882	20.166	22.728	111.26	29.833	38.785	272.91	9.6611	15.661	0.017939	vapor
313.15	0.39600	154.70	0.0064640	20.159	22.719	110.72	29.855	38.849	272.75	9.6618	15.663	0.017953	vapor
313.15	0.42000	164.25	0.0060882	20.153	22.710	110.21	29.876	38.915	272.59	9.6624	15.666	0.017966	vapor
313.15	0.44400	173.82	0.0057530	20.147	22.701	109.73	29.898	38.980	272.43	9.6630	15.669	0.017980	vapor
313.15	0.46800	183.41	0.0054522	20.140	22.692	109.27	29.920	39.046	272.27	9.6637	15.672	0.017994	vapor
313.15	0.49200	193.02	0.0051807	20.134	22.683	108.83	29.942	39.113	272.11	9.6643	15.675	0.018008	vapor
313.15	0.51600	202.65	0.0049345	20.127	22.674	108.42	29.963	39.179	271.95	9.6649	15.678	0.018022	vapor
313.15	0.54000	212.31	0.0047102	20.121	22.665	108.02	29.985	39.246	271.79	9.6656	15.681	0.018036	vapor
313.15	0.56400	221.98	0.0045049	20.115	22.655	107.64	30.007	39.313	271.63	9.6662	15.684	0.018050	vapor
313.15	0.58800	231.67	0.0043164	20.108	22.646	107.27	30.029	39.381	271.47	9.6668	15.687	0.018064	vapor
313.15	0.61200	241.39	0.0041427	20.102	22.637	106.92	30.051	39.449	271.30	9.6674	15.690	0.018079	vapor
313.15	0.63600	251.12	0.0039821	20.095	22.628	106.58	30.073	39.518	271.14	9.6680	15.693	0.018093	vapor
313.15	0.66000	260.88	0.0038332	20.089	22.619	106.25	30.096	39.586	270.98	9.6686	15.696	0.018108	vapor
313.15	0.68400	270.66	0.0036947	20.083	22.610	105.93	30.118	39.655	270.82	9.6692	15.700	0.018122	vapor
313.15	0.70800	280.46	0.0035655	20.076	22.600	105.62	30.140	39.725	270.66	9.6697	15.703	0.018137	vapor
313.15	0.73200	290.28	0.0034449	20.070	22.591	105.32	30.162	39.795	270.49	9.6703	15.706	0.018152	vapor
313.15	0.75600	300.13	0.0033319	20.063	22.582	105.04	30.185	39.865	270.33	9.6709	15.709	0.018166	vapor
313.15	0.78000	310.00	0.0032259	20.057	22.573	104.75	30.207	39.936	270.17	9.6714	15.713	0.018181	vapor
313.15	0.80400	319.88	0.0031261	20.050	22.563	104.48	30.230	40.007	270.00	9.6720	15.716	0.018196	vapor
313.15	0.82800	329.79	0.0030322	20.044	22.554	104.22	30.252	40.078	269.84	9.6725	15.719	0.018211	vapor
313.15	0.85200	339.73	0.0029435	20.037	22.545	103.96	30.275	40.150	269.68	9.6731	15.722	0.018226	vapor
313.15	0.87600	349.68	0.0028597	20.030	22.536	103.71	30.298	40.222	269.51	9.6736	15.726	0.018242	vapor
