Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
395.45	0.54000	165.93	0.0060266	22.743	25.998	117.46	33.031	41.803	304.35	5.4488	19.494	0.024551	vapor
396.85	1.6200	506.32	0.0019750	22.609	25.809	108.02	33.441	43.201	301.76	5.3658	19.728	0.025191	vapor
400.91	4.8600	1598.4	0.00062564	22.183	25.224	97.911	34.658	47.994	295.39	5.0641	20.596	0.027406	vapor
407.26	14.580	5604.8	0.00017842	20.515	23.116	84.95	37.808	67.985	293.59	3.7098	25.476	0.037678	supercritical
317.81	18.000	17981.	5.5613e-05	11.802	12.804	55.068	40.630	107.88	455.34	0.77006	70.490	0.087037	supercritical
408.91	0.54000	160.27	0.0062393	23.194	26.563	118.87	33.499	42.230	309.25	5.0292	20.094	0.025639	vapor
409.66	1.6200	488.76	0.0020460	23.050	26.364	109.39	33.841	43.464	306.81	4.9682	20.297	0.026209	vapor
411.92	4.8600	1540.2	0.00064926	22.595	25.751	99.208	34.878	47.710	300.71	4.7354	21.061	0.028183	vapor
413.78	14.580	5399.7	0.00018519	20.852	23.552	86.012	37.716	65.814	297.43	3.6096	25.456	0.037458	supercritical
318.13	18.000	17936.	5.5753e-05	11.835	12.838	55.176	40.635	108.12	453.52	0.77975	70.157	0.086757	supercritical
